Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
AMEX,ACCS,ACCESS Newswire Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,ACU,Acme United Corporation. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,AEON,"AEON Biopharma, Inc. Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,AGIG,Abundia Global Impact Group Inc. Common stock,Stock,,nasdaq_trader_symbol_directory
AMEX,AIB,"BlockchAIn Digital Infrastructure, Inc Common Shares",Stock,,nasdaq_trader_symbol_directory
AMEX,AIM,AIM ImmunoTech Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,AIRI,Air Industries Group Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),Stock,,nasdaq_trader_symbol_directory
AMEX,AMS,American Shared Hospital Services Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,AMZE,"Amaze Holdings, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,APT,"Alpha Pro Tech, Ltd. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,APUS,"Apimeds Pharmaceuticals US, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,AREN,"The Arena Group Holdings, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,ARMP,"Armata Pharmaceuticals, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),Stock,,nasdaq_trader_symbol_directory
AMEX,ATCH,"AtlasClear Holdings, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
AMEX,ATEST,Tick Pilot Test Control Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,ATEST.A,Tick Pilot Test Group 1 Common Stock,Stock,,nasdaq_trader_symbol_directory
AMEX,ATEST.B,Tick pilot Test 2 Common Stock,Stock,,nasdaq_trader_symbol_directory
