Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
NASDAQ,AAAP,Pacer Barings CLO Market Flex ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACBR,Artius II Acquisition Inc. - Rights,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACBU,Artius II Acquisition Inc. - Units,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACI,Armada Acquisition Corp. III - Class A Ordinary Share,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACIU,Armada Acquisition Corp. III - Units,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACIW,Armada Acquisition Corp. III - Warrant,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACO,Abony Acquisition Corp. I - Class A Ordinary Share,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACOU,Abony Acquisition Corp. I - Units,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACOW,Abony Acquisition Corp. I - Warrants,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACP,Apogee Acquisition Corp - Class A Ordinary Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACPR,Apogee Acquisition Corp - Rights,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACPU,Apogee Acquisition Corp - Units,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AACPW,Apogee Acquisition Corp - Warrant,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AADR,AdvisorShares Dorsey Wright ADR ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AAEQ,Alpha Architect US Equity 2 ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AAL,"American Airlines Group, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AALG,Leverage Shares 2X Long AAL Daily ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AAME,Atlantic American Corporation - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AAOI,"Applied Optoelectronics, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AAON,"AAON, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AAPB,GraniteShares 2x Long AAPL Daily ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AAPD,Direxion Daily AAPL Bear 1X ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AAPG,Ascentage Pharma Group International - American Depository Shares,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AAPL,Apple Inc. - Common Stock,Stock,,nasdaq_trader_symbol_directory
NASDAQ,AAPU,Direxion Daily AAPL Bull 2X ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AARD,"Aardvark Therapeutics, Inc. - Common Stock",Stock,,nasdaq_trader_symbol_directory
NASDAQ,AAUS,Alpha Architect US Equity ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AAVM,Alpha Architect Global Factor Equity ETF,ETF,,nasdaq_trader_symbol_directory
NASDAQ,AAXJ,iShares MSCI All Country Asia ex Japan ETF,ETF,,nasdaq_trader_symbol_directory
