Exchange,Symbol,Name,InstrumentType,FirstIpoDate,Source
NYSE,A,"Agilent Technologies, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AA,Alcoa Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AAC.U,"Ares Acquisition Corporation III Units, each consisting of one Class A ordinary share and one-tenth of one redeemable warrant",Stock,,nasdaq_trader_symbol_directory
NYSE,AADX,"Applied Aerospace & Defense, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AAMI,Acadian Asset Management Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,AAP,Advance Auto Parts Inc.,Stock,,nasdaq_trader_symbol_directory
NYSE,AAT,"American Assets Trust, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,AAUC,Allied Gold Corporation Common Shares,Stock,,nasdaq_trader_symbol_directory
NYSE,AB,AllianceBernstein Holding L.P. Units,Stock,,nasdaq_trader_symbol_directory
NYSE,ABBV,AbbVie Inc. Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ABCB,Ameris Bancorp Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Stock,,nasdaq_trader_symbol_directory
NYSE,ABG,Asbury Automotive Group Inc Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ABM,ABM Industries Incorporated Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ABR,Arbor Realty Trust Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",Stock,,nasdaq_trader_symbol_directory
NYSE,ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",Stock,,nasdaq_trader_symbol_directory
NYSE,ABT,Abbott Laboratories Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ABX,"Abacus Global Management, Inc. Class A Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",Stock,,nasdaq_trader_symbol_directory
NYSE,ACA,"Arcosa, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ACCO,Acco Brands Corporation Common Stock,Stock,,nasdaq_trader_symbol_directory
NYSE,ACEL,"Accel Entertainment, Inc.",Stock,,nasdaq_trader_symbol_directory
NYSE,ACH,"Accendra Health, Inc. Common Stock",Stock,,nasdaq_trader_symbol_directory
NYSE,ACHR,Archer Aviation Inc. Class A Common Stock,Stock,,nasdaq_trader_symbol_directory
